Código Venda,Data,ID Loja,Produto,Quantidade
1,1/1/2019,Iguatemi Esplanada,Sapato Estampa,1
1,1/1/2019,Iguatemi Esplanada,Camiseta,2
1,1/1/2019,Iguatemi Esplanada,Sapato Xadrez,1
2,1/2/2019,Norte Shopping,Relógio,3
2,1/2/2019,Norte Shopping,Chinelo Liso,1
3,1/2/2019,Rio Mar Shopping Fortaleza,Cinto Linho,1
5,1/2/2019,Shopping Barra,Calça,1
6,1/2/2019,Shopping Ibirapuera,Polo Listrado,4
7,1/2/2019,Norte Shopping,Camisa Gola V Listrado,1
7,1/2/2019,Norte Shopping,Camisa Liso,1
8,1/2/2019,Iguatemi Campinas,Terno Estampa,5
9,1/2/2019,Shopping Center Leste Aricanduva,Tênis Linho,1
9,1/2/2019,Shopping Center Leste Aricanduva,Casaco Xadrez,2
10,1/2/2019,Passei das Águas Shopping,Camiseta Xadrez,2
10,1/2/2019,Passei das Águas Shopping,Cueca Liso,1
11,1/2/2019,Shopping Recife,Camiseta,1
11,1/2/2019,Shopping Recife,Calça Listrado,2
11,1/2/2019,Shopping Recife,Camisa Estampa,1
12,1/2/2019,Shopping Midway Mall,Short Xadrez,4
12,1/2/2019,Shopping Midway Mall,Sunga Liso,2
14,1/2/2019,Bourbon Shopping SP,Casaco Liso,2
17,1/2/2019,Iguatemi Campinas,Chinelo Liso,1
18,1/2/2019,Rio Mar Shopping Fortaleza,Camisa Estampa,1
19,1/2/2019,Passei das Águas Shopping,Relógio Listrado,1
19,1/2/2019,Passei das Águas Shopping,Calça Linho,2
20,1/2/2019,Shopping Center Interlagos,Mochila Liso,1
21,1/2/2019,Iguatemi Esplanada,Camisa Gola V Listrado,2
22,1/2/2019,Parque Dom Pedro Shopping,Meia,1
22,1/2/2019,Parque Dom Pedro Shopping,Meia Linho,2
22,1/2/2019,Parque Dom Pedro Shopping,Calça Liso,2
23,1/2/2019,Center Shopping Uberlândia,Bermuda Estampa,3
23,1/2/2019,Center Shopping Uberlândia,Chinelo Liso,3
26,1/2/2019,Shopping União de Osasco,Chinelo,2
27,1/2/2019,Rio Mar Shopping Fortaleza,Sunga Linho,1
27,1/2/2019,Rio Mar Shopping Fortaleza,Terno Listrado,2
29,1/2/2019,Shopping Center Leste Aricanduva,Gorro Liso,4
31,1/2/2019,Shopping Eldorado,Casaco Estampa,3
31,1/2/2019,Shopping Eldorado,Pulseira,3
31,1/2/2019,Shopping Eldorado,Gorro Linho,1
31,1/2/2019,Shopping Eldorado,Cinto Linho,3
32,1/2/2019,Shopping Vila Velha,Polo Liso,1
32,1/2/2019,Shopping Vila Velha,Polo Listrado,2
33,1/2/2019,Shopping Midway Mall,Camisa,1
33,1/2/2019,Shopping Midway Mall,Meia Xadrez,3
34,1/2/2019,Iguatemi Esplanada,Sapato Listrado,1
34,1/2/2019,Iguatemi Esplanada,Camisa Gola V Liso,2
35,1/2/2019,Parque Dom Pedro Shopping,Relógio,2
35,1/2/2019,Parque Dom Pedro Shopping,Sapato,2
36,1/2/2019,Rio Mar Shopping Fortaleza,Meia Listrado,1
